Id,Received_Amount__c
a0FHp00000zy73TMAQ,
a0FHp00000zy73UMAQ,
a0FHp00000zy73VMAQ,
a0FHp00000zy73WMAQ,44727.9
a0FHp00000zy73XMAQ,44727.9
a0FHp00000zy73YMAQ,44727.9
a0FHp00000zy73ZMAQ,44727.9
a0FHp00000zy73aMAA,44727.9
a0FHp00000zy73bMAA,44727.9
a0FHp00000zy73cMAA,44727.9
a0FHp00000zy73dMAA,44727.9
a0FHp00000zy73eMAA,44727.9
a0FHp00000zy73fMAA,44727.9
a0FHp00000zy73gMAA,44727.9
a0FHp00000zy73hMAA,44727.9
a0FHp00000zy73iMAA,44727.9
a0FHp00000zy73jMAA,44727.9
a0FHp00000zy73kMAA,44727.9
a0FHp00000zy73lMAA,44727.9
a0FHp00000zy73mMAA,44727.9
a0FHp00000zy73nMAA,44727.9
a0FHp00000zy73oMAA,1.4
a0FHp00000zy73pMAA,
a0FHp00000zy73qMAA,
a0FHp00000zy73rMAA,
a0FHp00000zy73sMAA,
a0FHp00000zy73tMAA,
a0FHp00000zy73uMAA,
a0FHp00000zy73vMAA,
a0FHp00000zy73wMAA,
a0FHp00000zy73xMAA,
a0FHp00000zy73yMAA,
a0FHp00000zy73zMAA,
a0FHp00000zy740MAA,
a0FHp00000zy741MAA,
a0FHp00000zy742MAA,
a0FHp00000zy743MAA,
a0FHp00000zy744MAA,
a0FHp00000zy745MAA,
a0FHp00000zy746MAA,
a0FHp00000zy747MAA,
a0FHp00000zy748MAA,
a0FHp00000zy749MAA,
a0FHp00000zy74AMAQ,
a0FHp00000zy74BMAQ,
a0FHp00000zy74CMAQ,
a0FHp00000zy74DMAQ,
a0FHp00000zy74EMAQ,
a0FHp00000zy74FMAQ,
a0FHp00000zy74GMAQ,
a0FHp00000zy74HMAQ,
a0FHp00000zy74IMAQ,
a0FHp00000zy74JMAQ,
a0FHp00000zy74KMAQ,
a0FHp00000zy74LMAQ,
a0FHp00000zy74MMAQ,
a0FHp00000zy74NMAQ,
a0FHp00000zy74OMAQ,
a0FHp00000zy75IMAQ,28409.98
a0FHp00000zy75JMAQ,28409.98
a0FHp00000zy75KMAQ,28409.98
a0FHp00000zy75LMAQ,28409.98
a0FHp00000zy75MMAQ,28409.98
a0FHp00000zy75NMAQ,28409.98
a0FHp00000zy75OMAQ,28409.98
a0FHp00000zy75PMAQ,28409.98
a0FHp00000zy75QMAQ,28409.98
a0FHp00000zy75RMAQ,28409.98
a0FHp00000zy75SMAQ,28409.98
a0FHp00000zy75TMAQ,28409.98
a0FHp00000zy75UMAQ,28409.98
a0FHp00000zy75VMAQ,28409.98
a0FHp00000zy75WMAQ,28409.98
a0FHp00000zy75XMAQ,28409.98
a0FHp00000zy75YMAQ,28409.98
a0FHp00000zy75ZMAQ,28409.98
a0FHp00000zy75aMAA,28260.66
a0FHp00000zy75bMAA,
a0FHp00000zy75cMAA,
a0FHp00000zy75dMAA,
a0FHp00000zy75eMAA,
a0FHp00000zy75fMAA,
a0FHp00000zy75gMAA,
a0FHp00000zy75hMAA,
a0FHp00000zy75iMAA,
a0FHp00000zy75jMAA,
a0FHp00000zy75kMAA,
a0FHp00000zy75lMAA,
